DA_OA	DM_AF	DM_OA	JO_OF	JO_OA	KJ_OF	KJ_OA
-0.01168	-0.008757	-0.011462	-0.009689	-0.008819	-0.009557	-0.004917
-0.011485	-0.008304	-0.013273	-0.013317	-0.012042	-0.010027	-0.014565
-0.011171	-0.006549	-0.01398	-0.011379	-0.009244	-0.008535	-0.012201
-0.011227	-0.015187	-0.013817	-0.01811	-0.011033	-0.012395	-0.004821
-0.011378	-0.01021	-0.005603	-0.010186	-0.008216	-0.01315	-0.005376
-0.011392	-0.011677	-0.012024	-0.011613	-0.012476	-0.008018	-0.008147
-0.011397	-0.007525	-0.011876	-0.005887	-0.014793	-0.011102	-0.011075
-0.011406	-0.014633	-0.006767	-0.016696	-0.009742	-0.013154	-0.017401
-0.011567	-0.014473	-0.006808	-0.010386	-0.00894	-0.016808	-0.012527
-0.011405	-0.010655	-0.00921	-0.012521	-0.011415	-0.017375	-0.009286
-0.01139	-0.011209	-0.01827	-0.014375	-0.011808	-0.008775	-0.011802
-0.011451	-0.009511	-0.009382	-0.010233	-0.006661	-0.008737	-0.014506
-0.011248	-0.014054	-0.013005	-0.009195	-0.011858	-0.008947	-0.009459
-0.011136	-0.010174	-0.013781	-0.008208	-0.010021	-0.012467	-0.013863
-0.011346	-0.010227	-0.007333	-0.01536	-0.007729	-0.010095	-0.01064
-0.011416	-0.010249	-0.015856	-0.009072	-0.008894	-0.008111	-0.008124
-0.011175	-0.012714	-0.008582	-0.010735	-0.009085	-0.008493	-0.008191
-0.011353	-0.010081	-0.010545	-0.012271	-0.014163	-0.011144	-0.011308
-0.011196	-0.011491	-0.0124	        -0.011723	-0.012467	-0.007722	-0.010279
-0.01115	-0.012508	-0.008645	-0.004833	-0.011619	-0.014096	-0.015263
-0.011141	-0.015354	-0.010346	-0.012057	-0.008506	-0.008235	-0.01375
-0.010915	-0.012914	-0.009748	-0.0081	        -0.011356	-0.010473	-0.0085
-0.010986	-0.0086	        -0.01432	-0.013145	-0.01315	-0.007992	-0.009713
-0.011084	-0.012774	-0.009423	-0.006177	-0.011473	-0.012373	-0.012851
-0.011175	-0.009996	-0.011503	-0.010748	-0.009051	-0.013669	-0.011986
-0.011051	-0.010568	-0.015688	-0.011958	-0.010339	-0.009177	-0.014745
-0.011445	-0.008894	-0.014639	-0.01161	-0.014927	-0.013606	-0.00811
-0.011129	-0.011954	-0.010958	-0.005236	-0.013052	-0.008299	-0.007831
-0.011125	-0.008427	-0.010032	-0.015834	-0.008013	-0.011727	-0.012859
-0.011363	-0.019123	-0.010605	-0.012	        -0.00999	-0.015431	-0.00981
-0.011168	-0.010435	-0.007861	-0.009206	-0.011896	-0.011229	-0.006475
-0.011206	-0.009385	-0.009638	-0.01072	-0.016205	-0.010158	-0.017202
-0.01133	-0.009914	-0.012933	-0.012288	-0.007353	-0.007183	-0.013262
-0.011581	-0.010675	-0.012411	-0.01316	-0.014549	-0.012854	-0.004797
-0.011086	-0.011144	-0.01353	-0.011052	-0.012149	-0.011566	-0.010436
-0.011367	-0.010268	-0.008195	-0.015241	-0.011899	-0.011577	-0.012913
-0.011587	-0.012824	-0.011552	-0.014805	-0.007307	-0.011869	-0.011068
-0.011342	-0.010698	-0.013463	-0.007816	-0.010459	-0.01165	-0.010406
-0.011615	-0.013494	-0.009632	-0.013115	-0.015064	-0.014958	-0.008978
-0.011878	-0.009913	-0.011938	-0.013168	-0.009466	-0.01105	-0.011128
-0.011658	-0.011472	-0.013044	-0.010789	-0.010129	-0.008734	-0.011802
-0.011574	-0.006732	-0.012188	-0.012541	-0.013595	-0.008537	-0.012928
-0.011747	-0.01358	-0.011831	-0.00905	-0.012361	-0.006513	-0.007171
-0.011946	-0.015745	-0.007619	-0.009163	-0.011571	-0.01407	-0.01261
-0.01175	-0.005927	-0.014801	-0.00593	-0.004729	-0.016895	-0.011838
-0.01195	-0.006435	-0.014017	-0.012947	-0.011837	-0.011969	-0.005111
-0.012077	-0.012445	-0.011296	-0.008908	-0.014811	-0.011841	-0.009644
-0.011901	-0.008001	-0.011909	-0.009847	-0.012586	-0.007951	-0.012712
-0.012038	-0.009233	-0.005583	-0.008	-0.010225	-0.012062	-0.011746
-0.012191	-0.011489	-0.015474	-0.010036	-0.012161	-0.01307	-0.012751
-0.012246	-0.015231	-0.006329	-0.0141	-0.015837	-0.011981	-0.01007
-0.011942	-0.013689	-0.010832	-0.01176	-0.009701	-0.009431	-0.010766
-0.011958	-0.008866	-0.009805	-0.008958	-0.003911	-0.006922	-0.013419
-0.012009	-0.007542	-0.01056	-0.011039	-0.009574	-0.011901	-0.009083
